backend,field_weight,top1,top5,mrr,mean_rank,median_rank,mean_true_score,mean_best_false_score,mean_margin,median_margin,attacked_candidate_fraction,attacked_top1_fraction,rank_delta_vs_cosine_top20,field_rank_delta_top20,seconds
cosine,0.0,1.0,1.0,1.0,1.0,1.0,0.9300653338432312,0.3443836271762848,0.5856816172599792,0.6023356914520264,0.0495078125,0.048,0.0,0.0,0.022014856338500977
dot,0.0,1.0,1.0,1.0,1.0,1.0,64.01234436035156,24.5532283782959,39.4591178894043,38.55547332763672,0.0495078125,0.048,0.20018836751010663,0.0,0.01700758934020996
geo_projected,0.0,1.0,1.0,1.0,1.0,1.0,0.8230231404304504,0.7423582673072815,0.08066479861736298,0.08010396361351013,0.0495078125,0.048,0.42012311057124385,0.0,0.0871431827545166
field_geo_projected,0.001,1.0,1.0,1.0,1.0,1.0,0.8288787007331848,0.7467107176780701,0.08216799795627594,0.08174654841423035,0.0495078125,0.048,0.43262319504028657,0.07132505625486374,0.13096833229064941
field_geo_projected,0.005,1.0,1.0,1.0,1.0,1.0,0.8523012399673462,0.7718263268470764,0.08047492802143097,0.08062350749969482,0.0495078125,0.048,0.5015637239952276,0.27744045853614807,0.12954497337341309
field_geo_projected,0.01,0.999,1.0,0.9995,1.001,1.0,0.8815793991088867,0.8051418662071228,0.07643760740756989,0.07731905579566956,0.0495078125,0.048,0.5989445658527416,0.46806958317756653,0.13040924072265625
field_geo_projected,0.05,0.872,1.0,0.9355333333333333,1.132,1.0,1.115804672241211,1.0720082521438599,0.04379638656973839,0.0513882040977478,0.0495078125,0.051,0.8572867698917439,0.8260775208473206,0.12954044342041016
gpu_projected,0.0,1.0,1.0,1.0,1.0,1.0,0.8238394856452942,0.743240475654602,0.08059904724359512,0.08022594451904297,0.0495078125,0.048,0.42007282583460226,0.0,0.09743547439575195
field_gpu_projected,0.001,1.0,1.0,1.0,1.0,1.0,0.8296950459480286,0.747590184211731,0.0821048766374588,0.0817486047744751,0.0495078125,0.048,0.4321466689454696,0.07063128054141998,0.13940668106079102
field_gpu_projected,0.005,1.0,1.0,1.0,1.0,1.0,0.8531172871589661,0.772685706615448,0.08043156564235687,0.08077484369277954,0.0495078125,0.048,0.5026374850917918,0.2782948613166809,0.13894343376159668
field_gpu_projected,0.01,0.999,1.0,0.9995,1.001,1.0,0.8823950290679932,0.8059977293014526,0.0763973519206047,0.0772811770439148,0.0495078125,0.048,0.5988095884258026,0.46843090653419495,0.13949131965637207
field_gpu_projected,0.05,0.875,1.0,0.9368666666666666,1.13,1.0,1.1166173219680786,1.072852373123169,0.043764907866716385,0.0514070987701416,0.0495078125,0.051,0.857485768931877,0.825860857963562,0.1384592056274414
qpu_projected,0.0,1.0,1.0,1.0,1.0,1.0,0.765130877494812,0.6994086503982544,0.06572215259075165,0.06517577171325684,0.0495078125,0.048,0.45922621545698644,0.0,0.09601044654846191
field_qpu_projected,0.001,1.0,1.0,1.0,1.0,1.0,0.7703987956047058,0.7032049894332886,0.06719376891851425,0.06695899367332458,0.0495078125,0.048,0.4763440876330658,0.08402352780103683,0.13704323768615723
field_qpu_projected,0.005,1.0,1.0,1.0,1.0,1.0,0.7914710640907288,0.7257996201515198,0.0656714215874672,0.06593182682991028,0.0495078125,0.048,0.5648793160201775,0.33188802003860474,0.13904023170471191
field_qpu_projected,0.01,0.998,1.0,0.999,1.002,1.0,0.8178114295005798,0.7561090588569641,0.061702292412519455,0.06239497661590576,0.0495078125,0.048,0.6693691173933993,0.5349170565605164,0.13979744911193848
field_qpu_projected,0.05,0.835,0.999,0.9163944444444445,1.178,1.0,1.0285338163375854,0.9991316795349121,0.02940213866531849,0.03686559200286865,0.0495078125,0.052,0.8712720666553987,0.8307446837425232,0.13823556900024414
